Organism,Sample,Dataset,Instrument,Separation Type,Type,Acquisition Start,Acquisition End,Scan Count,Acq Length,param_num
Enterobacter_cloacae_SCF1,E_ligno_SCF1_X_sup_03,E_ligno_SCF1_X_sup_03_Run1_13Jun12_Earth_12-04-17,VOrbi05,LC-ISCO-Formic_100minute,HMS-MSn,6/14/2012 3:51 AM,6/14/2012 5:30 AM,28777,99,0
Enterobacter_cloacae_SCF1,E_ligno_SCF1_LX_pool_03,E_ligno_SCF1_LX_pool_03_01Oct11_Lynx_11-09-28,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,10/1/2011 12:40 PM,10/1/2011 2:18 PM,22286,98,0
Enterobacter_cloacae_SCF1,E_ligno_SCF1_X_sup_02,E_ligno_SCF1_X_sup_02_Run1_14Jun12_Earth_12-04-17,VOrbi05,LC-ISCO-Formic_100minute,HMS-MSn,6/14/2012 4:21 PM,6/14/2012 6:00 PM,26761,99,0
Enterobacter_cloacae_SCF1,E_ligno_SCF1_L_sup_03,E_Ligno_SCF1_L_sup_03_lipid_pos_26Sep12_Samwise_12-05-13,VOrbiETD01,LC-Waters-Metabolomics_LipidSoluble,HMS-HCD-CID-MSn,9/26/2012 9:04 PM,9/26/2012 10:34 PM,8344,90,0
Fibrobacter_succinogenes_S85,F_succ_glu_p_09,F_succ_glu_p_09_30Apr12_Tiger_12-04-05,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,5/1/2012 3:24 AM,5/1/2012 5:03 AM,27939,99,0
Fibrobacter_succinogenes_S85,Fibro_Gluc_M_NP1,Fibro_Gluc_M_NP1_20Mar12_Doc_12-02-12,LTQ_Orb_2,LC-ISCO-Formic_100minute,HMS-MSn,3/22/2012 4:07 PM,3/22/2012 5:46 PM,14265,99,0
Fibrobacter_succinogenes_S85,Fibro_Av_M_NP1_B,Fibro_Av_M_NP1_B_20Mar12_Doc_12-02-12,LTQ_Orb_2,LC-ISCO-Formic_100minute,HMS-MSn,3/25/2012 5:47 AM,3/25/2012 7:26 AM,14245,99,0
Fibrobacter_succinogenes_S85,F_succ_glu_p_06,F_succ_glu_p_06_30Apr12_Tiger_12-04-06,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,4/30/2012 9:00 PM,4/30/2012 10:39 PM,29698,99,0
Fibrobacter_succinogenes_S85,F_succ_glu_p_04,F_succ_glu_p_04_30Apr12_Tiger_12-04-06,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,4/30/2012 4:43 PM,4/30/2012 6:22 PM,27997,99,0
Fibrobacter_succinogenes_S85,F_succ_av_p_05,F_succ_av_p_05_24Apr12_Tiger_12-04-05,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,4/26/2012 4:50 PM,4/26/2012 6:29 PM,29484,99,0
Fibrobacter_succinogenes_S85,Fibro_Av_P_2DABP3,Fibro_Av_P_2DABP3_20Mar12_Doc_12-02-15,LTQ_Orb_2,LC-ISCO-Formic_100minute,HMS-MSn,3/23/2012 11:31 AM,3/23/2012 1:10 PM,14762,99,0
Fibrobacter_succinogenes_S85,F_succ_glu_m_06,F_succ_glu_m_06_28Apr12_Tiger_12-04-05,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,4/29/2012 11:03 AM,4/29/2012 12:42 PM,29929,99,0
Fibrobacter_succinogenes_S85,F_succ_av_p_04,F_succ_av_p_04_24Apr12_Tiger_12-04-06,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,4/26/2012 2:42 PM,4/26/2012 4:21 PM,28078,99,0
Fibrobacter_succinogenes_S85,F_succ_glu_m_04,F_succ_glu_m_04_28Apr12_Tiger_12-04-05,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,4/29/2012 6:47 AM,4/29/2012 8:26 AM,29893,99,0
Geobacter_bemidjiensis_Bem_T,Rifle_2010_GW_CD01_06_15,Rifle_2010_GW_cd01_06_15__b_09Aug11_Lynx_11-06-24,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,8/11/2011 12:37 PM,8/11/2011 2:15 PM,25300,98,0
Geobacter_bemidjiensis_Bem_T,Gbem_memsol_008,Gbem_memsol_008_Block2_6Jul12_Falcon_12-06-02,LTQ_Orb_2,LC-ISCO-Formic_100minute,HMS-MSn,7/6/2012 10:25 PM,7/7/2012 12:04 AM,16151,99,0
Geobacter_bemidjiensis_Bem_T,Gbem_Bulk_1_2,Gbem_Bulk_1_2__block2_9Mar12_Doc_12-02-20,LTQ_Orb_2,LC-ISCO-Formic_100minute,HMS-MSn,3/9/2012 5:54 PM,3/9/2012 7:33 PM,16049,99,0
Geobacter_bemidjiensis_Bem_T,Rifle_2010_GW_CD01_04_05,Rifle_2010_GW_cd01_04_05__b_03Aug11_Lynx_11-02-05,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,8/4/2011 2:29 AM,8/4/2011 4:07 AM,8225,98,0
Geobacter_bemidjiensis_Bem_T,Rifle_2010_GW_CD01_07_05,Rifle_2010_GW_CD01_07_05_21Jul11_Lynx_11-07-01,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,7/22/2011 5:39 AM,7/22/2011 7:17 AM,21349,98,0
Geobacter_bemidjiensis_Bem_T,Rifle_2011_GW_03_12,Rifle_2011_GW_03_12_10Jul12_Tiger_12-05-06,VOrbiETD03,LC-Waters-2D-Formic,HMS-MSn,7/12/2012 10:20 PM,7/12/2012 11:59 PM,23804,99,0
Geobacter_bemidjiensis_Bem_T,Gbem_memsol_025,Gbem_memsol_025__block1_rr_3Jul12_Falcon_12-06-02,LTQ_Orb_2,LC-ISCO-Formic_100minute,HMS-MSn,7/3/2012 6:33 PM,7/3/2012 8:12 PM,17798,99,0
Geobacter_bemidjiensis_Bem_T,Rifle_2010_GW_CD01_12_14,Rifle_2010_GW_CD01_12_14_13Jul11_Lynx_11-07-02,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,7/14/2011 3:50 PM,7/14/2011 5:28 PM,21827,98,0
Geobacter_bemidjiensis_Bem_T,Rifle_2010_GW_CD01_13_07,Rifle_2010_GW_CD01_13_07_13Jul11_Lynx_11-07-01,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,7/15/2011 7:07 AM,7/15/2011 8:45 AM,20826,98,0
Geobacter_bemidjiensis_Bem_T,Rifle_2010_GW_CD01_05_04,Rifle_2010_GW_CD01_05_04_07Jul11_Lynx_11-07-02,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,7/9/2011 5:29 PM,7/9/2011 7:07 PM,21093,98,0
Geobacter_metallireducens_GS-15,gmet_insol_AIC_neg,gmet_insol_AIC_neg_FT1c_03Apr05_Pegasus_0305-01,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,4/4/2005 12:41 AM,4/4/2005 2:21 AM,11064,100,0
Geobacter_metallireducens_GS-15,gmet_insol_AIC_10-11,gmet_insol_AIC_10_11_FT1a_04Apr05_Pegasus_0305-01,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,4/4/2005 4:04 PM,4/4/2005 5:44 PM,10341,100,0
Geobacter_metallireducens_GS-15,gmet_insol_HIC_8-9,gmet_insol_HIC_8_9_FT1b_03Apr05_Pegasus_0305-01,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,4/4/2005 5:23 AM,4/4/2005 7:03 AM,9942,100,0
Geobacter_metallireducens_GS-15,gmet_insol_RAW,gmet_insol_RAW_FT1a_01Apr05_Pegasus_0305-02,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,4/1/2005 6:01 PM,4/1/2005 7:41 PM,11646,100,0
Geobacter_metallireducens_GS-15,gmet_sol_RAW,gmet_sol_RAW_FT1b_14Apr05_Pegasus_0305-08,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,4/14/2005 5:21 PM,4/14/2005 7:01 PM,12656,100,0
Geobacter_metallireducens_GS-15,gmet_insol_AIC_10-11,gmet_insol_AIC_10_11_FT1b_04Apr05_Pegasus_0305-02,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,4/4/2005 6:25 PM,4/4/2005 8:05 PM,10177,100,0
Geobacter_metallireducens_GS-15,gmet_insol_NIC_4-5,gmet_insol_NIC_4_5_FT1b_04Apr05_Pegasus_0305-01,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,4/5/2005 1:28 AM,4/5/2005 3:08 AM,11144,100,0
Geobacter_metallireducens_GS-15,gmet_sol_RAW,gmet_sol_RAW_FT1c_14Apr05_Pegasus_0305-07,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,4/14/2005 7:45 PM,4/14/2005 9:25 PM,12669,100,0
Geobacter_metallireducens_GS-15,gmet_insol_NIC_4-5,gmet_insol_NIC_4_5_FT1a_04Apr05_Pegasus_0305-02,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,4/4/2005 11:07 PM,4/5/2005 12:47 AM,10656,100,0
Geobacter_metallireducens_GS-15,gmet_insol_NIC_15-16,gmet_insol_NIC_15_16_FT1b_04Apr05_Pegasus_0305-02,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,4/5/2005 8:44 AM,4/5/2005 10:24 AM,11290,100,0
Halorhabdus_utahensis_DSM_12940,JGI_12940_02_24,JGI_12940_02_24_22Aug08_Raptor_08-05-17,LTQ_ETD_1,LC-ISCO-Standard,MS-ETD-MSn,8/25/2008 12:19 PM,8/25/2008 1:58 PM,16719,99,2
Halorhabdus_utahensis_DSM_12940,JGI_12940_02_18,JGI_12940_02_18_25Aug08_Raptor_08-05-17,LTQ_ETD_1,LC-ISCO-Standard,MS-ETD-MSn,8/25/2008 7:29 PM,8/25/2008 9:09 PM,17275,100,2
Halorhabdus_utahensis_DSM_12940,JGI_12940_03_16,JGI_12940_03_16_25Aug08_Raptor_07-12-23,LTQ_ETD_1,LC-ISCO-Standard,MS-ETD-MSn,8/27/2008 4:51 AM,8/27/2008 6:30 AM,17198,99,2
Halorhabdus_utahensis_DSM_12940,JGI_12940_02_11,JGI_12940_02_11_22Aug08_Raptor_08-01-01,LTQ_ETD_1,LC-ISCO-Standard,MS-ETD-MSn,8/24/2008 12:44 PM,8/24/2008 2:24 PM,17011,100,2
Halorhabdus_utahensis_DSM_12940,JGI_12940_02_13,JGI_12940_02_13_22Aug08_Raptor_07-12-23,LTQ_ETD_1,LC-ISCO-Standard,MS-ETD-MSn,8/24/2008 4:03 PM,8/24/2008 5:43 PM,18177,100,2
Halorhabdus_utahensis_DSM_12940,JGI_12940_02_17,JGI_12940_02_17_22Aug08_Raptor_07-12-23,LTQ_ETD_1,LC-ISCO-Standard,MS-ETD-MSn,8/24/2008 10:46 PM,8/25/2008 12:25 AM,17605,99,2
Halorhabdus_utahensis_DSM_12940,JGI_12940_03_05,JGI_12940_03_05_25Aug08_Raptor_08-06-18,LTQ_ETD_1,LC-ISCO-Standard,MS-ETD-MSn,8/26/2008 5:34 AM,8/26/2008 7:13 AM,16967,99,2
Halorhabdus_utahensis_DSM_12940,JGI_12940_02_21,JGI_12940_02_21_22Aug08_Raptor_07-12-23,LTQ_ETD_1,LC-ISCO-Standard,MS-ETD-MSn,8/25/2008 7:16 AM,8/25/2008 8:56 AM,16912,100,2
Halorhabdus_utahensis_DSM_12940,JGI_12940_03_01,JGI_12940_03_01_25Aug08_Raptor_08-06-18,LTQ_ETD_1,LC-ISCO-Standard,MS-ETD-MSn,8/25/2008 10:50 PM,8/26/2008 12:30 AM,17429,100,2
Halorhabdus_utahensis_DSM_12940,JGI_12940_02_15,JGI_12940_02_15_22Aug08_Raptor_08-01-01,LTQ_ETD_1,LC-ISCO-Standard,MS-ETD-MSn,8/24/2008 7:24 PM,8/24/2008 9:04 PM,18188,100,2
Kineococcus_radiotolerans_SRS30216,Kradi001,Kradi001_run3_18Aug08_Draco_08-07-15,LTQ_Orb_2,LC-ISCO-Standard,HMS-MSn,8/19/2008 5:16 PM,8/19/2008 6:56 PM,17616,100,3
Kineococcus_radiotolerans_SRS30216,Kradi007,Kradi007_run3_14Aug08_Draco_08-07-15,LTQ_Orb_2,LC-ISCO-Standard,HMS-MSn,8/17/2008 8:00 PM,8/17/2008 9:40 PM,17628,100,3
Kineococcus_radiotolerans_SRS30216,Kradi004,Kradi004_run1_5Aug08_Draco_08-07-15,LTQ_Orb_2,LC-ISCO-Standard,HMS-MSn,8/6/2008 10:21 AM,8/6/2008 12:00 PM,17277,99,3
Kineococcus_radiotolerans_SRS30216,Kradi001,Kradi001_run2_14Aug08_Draco_08-07-15,LTQ_Orb_2,LC-ISCO-Standard,HMS-MSn,8/15/2008 3:15 AM,8/15/2008 4:55 AM,18112,100,3
Kineococcus_radiotolerans_SRS30216,Kradi011,Kradi011_run3_14Aug08_Draco_08-07-15,LTQ_Orb_2,LC-ISCO-Standard,HMS-MSn,8/16/2008 1:59 AM,8/16/2008 3:38 AM,17980,99,3
Kineococcus_radiotolerans_SRS30216,Kradi008,Kradi008_run1_5Aug08_Draco_08-07-15,LTQ_Orb_2,LC-ISCO-Standard,HMS-MSn,8/6/2008 3:25 AM,8/6/2008 5:05 AM,17625,100,3
Kineococcus_radiotolerans_SRS30216,Kradi009,Kradi009_run3_18Aug08_Draco_08-07-15,LTQ_Orb_2,LC-ISCO-Standard,HMS-MSn,8/19/2008 1:34 AM,8/19/2008 3:14 AM,17667,100,3
Kineococcus_radiotolerans_SRS30216,Kradi002,Kradi002_run3_18Aug08_Draco_08-07-15,LTQ_Orb_2,LC-ISCO-Standard,HMS-MSn,8/18/2008 9:47 AM,8/18/2008 11:27 AM,18214,100,3
Kineococcus_radiotolerans_SRS30216,Kradi004,Kradi004_run3_14Aug08_Draco_08-07-15,LTQ_Orb_2,LC-ISCO-Standard,HMS-MSn,8/16/2008 8:55 AM,8/16/2008 10:34 AM,17649,99,3
